Fecha,Lectura Km,Km recorridos,Litros,Precio litro,Precio,Consumo ord.,Consumo real,Precio Km
2020-05-24,null,null,null,null,null,null,null,null
2020-05-25,null,null,null,null,null,null,null,null
2020-05-26,null,null,null,null,null,null,null,null
2020-05-27,null,null,null,null,null,null,null,null
2020-05-28,null,null,null,null,null,null,null,null
2020-05-29,null,null,null,null,null,null,null,null
2020-05-30,null,null,null,null,null,null,null,null
2020-05-31,null,null,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null,null,null
2020-06-02,null,null,null,null,null,null,null,null
2020-06-03,null,null,null,null,null,null,null,null
2020-06-04,null,null,null,null,null,null,null,null
2020-06-05,null,null,null,null,null,null,null,null
2020-06-06,null,null,null,null,null,null,null,null
2020-06-07,null,null,null,null,null,null,null,null
2020-06-08,null,null,null,null,null,null,null,null
2020-06-09,null,null,null,null,null,null,null,null
2020-06-10,null,null,null,null,null,null,null,null
2020-06-11,null,null,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null,null,null
2020-06-13,null,null,null,null,null,null,null,null
2020-06-14,null,null,null,null,null,null,null,null
2020-06-15,null,null,null,null,null,null,null,null
2020-06-16,null,null,null,null,null,null,null,null
2020-06-17,null,null,null,null,null,null,null,null
2020-06-18,null,null,null,null,null,null,null,null
2020-06-19,null,null,null,null,null,null,null,null
2020-06-20,null,null,null,null,null,null,null,null
2020-06-21,null,null,null,null,null,null,null,null
2020-06-22,null,null,null,null,null,null,null,null
2020-06-23,null,null,null,null,null,null,null,null
2020-06-24,null,null,null,null,null,null,null,null
2020-06-25,null,null,null,null,null,null,null,null
2020-06-26,null,null,null,null,null,null,null,null
2020-06-27,null,null,null,null,null,null,null,null
2020-06-28,null,null,null,null,null,null,null,null
2020-06-29,null,null,null,null,null,null,null,null
2020-06-30,16005,783,43.56,0.909,39.60,5.2,5.6,0.05
2020-07-01,null,null,null,null,null,null,null,null
2020-07-02,null,null,null,null,null,null,null,null
2020-07-03,null,null,null,null,null,null,null,null
2020-07-04,null,null,null,null,null,null,null,null
2020-07-05,null,null,null,null,null,null,null,null
2020-07-06,null,null,null,null,null,null,null,null
2020-07-07,null,null,null,null,null,null,null,null
2020-07-08,null,null,null,null,null,null,null,null
2020-07-09,null,null,null,null,null,null,null,null
2020-07-10,null,null,null,null,null,null,null,null
2020-07-11,null,null,null,null,null,null,null,null
2020-07-12,null,null,null,null,null,null,null,null
2020-07-13,null,null,null,null,null,null,null,null
2020-07-14,null,null,null,null,null,null,null,null
2020-07-15,null,null,null,null,null,null,null,null
2020-07-16,null,null,null,null,null,null,null,null
2020-07-17,null,null,null,null,null,null,null,null
2020-07-18,null,null,null,null,null,null,null,null
2020-07-19,null,null,null,null,null,null,null,null
2020-07-20,null,null,null,null,null,null,null,null
2020-07-21,null,null,null,null,null,null,null,null
2020-07-22,null,null,null,null,null,null,null,null
2020-07-23,null,null,null,null,null,null,null,null
2020-07-24,null,null,null,null,null,null,null,null
2020-07-25,null,null,null,null,null,null,null,null
2020-07-26,null,null,null,null,null,null,null,null
2020-07-27,null,null,null,null,null,null,null,null
2020-07-28,null,null,null,null,null,null,null,null
2020-07-29,null,null,null,null,null,null,null,null
2020-07-30,null,null,null,null,null,null,null,null
2020-07-31,null,null,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null,null,null
2020-08-02,null,null,null,null,null,null,null,null
2020-08-03,16633,628,33.62,0.929,31.23,5.4,5.4,0.05
2020-08-04,null,null,null,null,null,null,null,null
2020-08-05,null,null,null,null,null,null,null,null
2020-08-06,null,null,null,null,null,null,null,null
2020-08-07,null,null,null,null,null,null,null,null
2020-08-08,17117,484,25.77,0.937,24.15,5.1,5.3,0.05
2020-08-09,null,null,null,null,null,null,null,null
2020-08-10,null,null,null,null,null,null,null,null
2020-08-11,null,null,null,null,null,null,null,null
2020-08-12,null,null,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null,null,null
2020-08-16,null,null,null,null,null,null,null,null
2020-08-17,null,null,null,null,null,null,null,null
2020-08-18,null,null,null,null,null,null,null,null
2020-08-19,null,null,null,null,null,null,null,null
2020-08-20,null,null,null,null,null,null,null,null
2020-08-21,null,null,null,null,null,null,null,null
2020-08-22,null,null,null,null,null,null,null,null
2020-08-23,null,null,null,null,null,null,null,null
2020-08-24,null,null,null,null,null,null,null,null
2020-08-25,null,null,null,null,null,null,null,null
2020-08-26,null,null,null,null,null,null,null,null
2020-08-27,null,null,null,null,null,null,null,null
2020-08-28,null,null,null,null,null,null,null,null
2020-08-29,null,null,null,null,null,null,null,null
2020-08-30,null,null,null,null,null,null,null,null
2020-08-31,null,null,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null,null,null
2020-09-02,null,null,null,null,null,null,null,null
2020-09-03,null,null,null,null,null,null,null,null
2020-09-04,null,null,null,null,null,null,null,null
2020-09-05,null,null,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null,null,null
2020-09-22,null,null,null,null,null,null,null,null
2020-09-23,null,null,null,null,null,null,null,null
2020-09-24,null,null,null,null,null,null,null,null
2020-09-25,null,null,null,null,null,null,null,null
2020-09-26,null,null,null,null,null,null,null,null
2020-09-27,null,null,null,null,null,null,null,null
2020-09-28,null,null,null,null,null,null,null,null
2020-09-29,null,null,null,null,null,null,null,null
2020-09-30,null,null,null,null,null,null,null,null
2020-10-01,null,null,null,null,null,null,null,null
2020-10-02,null,null,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null,null,null
2020-10-05,null,null,null,null,null,null,null,null
2020-10-06,null,null,null,null,null,null,null,null
2020-10-07,18602,712.5,41.15,0.905,37.24,5.5,5.8,0.05
2020-10-08,null,null,null,null,null,null,null,null
2020-10-09,null,null,null,null,null,null,null,null
2020-10-10,null,null,null,null,null,null,null,null
2020-10-11,null,null,null,null,null,null,null,null
2020-10-12,null,null,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null,null,null
2020-10-14,null,null,null,null,null,null,null,null
2020-10-15,null,null,null,null,null,null,null,null
2020-10-16,null,null,null,null,null,null,null,null
2020-10-17,null,null,null,null,null,null,null,null
2020-10-18,null,null,null,null,null,null,null,null
2020-10-19,null,null,null,null,null,null,null,null
2020-10-20,null,null,null,null,null,null,null,null
2020-10-21,null,null,null,null,null,null,null,null
2020-10-22,19378,776,42.48,0.905,38.44,5.1,5.5,0.05
2020-10-23,null,null,null,null,null,null,null,null
2020-10-24,null,null,null,null,null,null,null,null
2020-10-25,null,null,null,null,null,null,null,null
2020-10-26,20163,785,41.51,0.905,37.57,5.2,5.3,0.05
2020-10-27,null,null,null,null,null,null,null,null
2020-10-28,null,null,null,null,null,null,null,null
2020-10-29,null,null,null,null,null,null,null,null
2020-10-30,null,null,null,null,null,null,null,null
2020-10-31,null,null,null,null,null,null,null,null
2020-11-01,null,null,null,null,null,null,null,null
2020-11-02,null,null,null,null,null,null,null,null
2020-11-03,null,null,null,null,null,null,null,null
2020-11-04,null,null,null,null,null,null,null,null
2020-11-05,null,null,null,null,null,null,null,null
2020-11-06,null,null,null,null,null,null,null,null
2020-11-07,null,null,null,null,null,null,null,null
2020-11-08,null,null,null,null,null,null,null,null
2020-11-09,null,null,null,null,null,null,null,null
2020-11-10,null,null,null,null,null,null,null,null
2020-11-11,null,null,null,null,null,null,null,null
2020-11-12,null,null,null,null,null,null,null,null
2020-11-13,null,null,null,null,null,null,null,null
2020-11-14,null,null,null,null,null,null,null,null
2020-11-15,null,null,null,null,null,null,null,null
2020-11-16,20985,822,42.94,0.885,38.00,5.0,5.2,0.05
2020-11-17,null,null,null,null,null,null,null,null
2020-11-18,null,null,null,null,null,null,null,null
2020-11-19,null,null,null,null,null,null,null,null
2020-11-20,null,null,null,null,null,null,null,null
2020-11-21,null,null,null,null,null,null,null,null
2020-11-22,null,null,null,null,null,null,null,null
2020-11-23,null,null,null,null,null,null,null,null
2020-11-24,null,null,null,null,null,null,null,null
2020-11-25,null,null,null,null,null,null,null,null
2020-11-26,null,null,null,null,null,null,null,null
2020-11-27,null,null,null,null,null,null,null,null
2020-11-28,null,null,null,null,null,null,null,null
2020-11-29,null,null,null,null,null,null,null,null
2020-11-30,null,null,null,null,null,null,null,null
2020-12-01,null,null,null,null,null,null,null,null
2020-12-02,21751,766,41.79,0.885,36.98,5.3,5.5,0.05
2020-12-03,null,null,null,null,null,null,null,null
2020-12-04,null,null,null,null,null,null,null,null
2020-12-05,null,null,null,null,null,null,null,null
2020-12-06,null,null,null,null,null,null,null,null
2020-12-07,null,null,null,null,null,null,null,null
2020-12-08,null,null,null,null,null,null,null,null
2020-12-09,null,null,null,null,null,null,null,null
2020-12-10,null,null,null,null,null,null,null,null
2020-12-11,null,null,null,null,null,null,null,null
2020-12-12,null,null,null,null,null,null,null,null
2020-12-13,null,null,null,null,null,null,null,null
2020-12-14,null,null,null,null,null,null,null,null
2020-12-15,null,null,null,null,null,null,null,null
2020-12-16,null,null,null,null,null,null,null,null
2020-12-17,null,null,null,null,null,null,null,null
2020-12-18,null,null,null,null,null,null,null,null
2020-12-19,null,null,null,null,null,null,null,null
2020-12-20,null,null,null,null,null,null,null,null
2020-12-21,null,null,null,null,null,null,null,null
2020-12-22,null,null,null,null,null,null,null,null
2020-12-23,null,null,null,null,null,null,null,null
2020-12-24,null,null,null,null,null,null,null,null
2020-12-25,null,null,null,null,null,null,null,null
2020-12-26,null,null,null,null,null,null,null,null
2020-12-27,22494,743,41.72,0.947,39.51,5.5,5.6,0.05
2020-12-28,null,null,null,null,null,null,null,null
2020-12-29,null,null,null,null,null,null,null,null
2020-12-30,null,null,null,null,null,null,null,null
2020-12-31,null,null,null,null,null,null,null,null
2021-01-01,null,null,null,null,null,null,null,null
2021-01-02,null,null,null,null,null,null,null,null
2021-01-03,null,null,null,null,null,null,null,null
2021-01-04,null,null,null,null,null,null,null,null
2021-01-05,null,null,null,null,null,null,null,null
2021-01-06,null,null,null,null,null,null,null,null
2021-01-07,null,null,null,null,null,null,null,null
2021-01-08,null,null,null,null,null,null,null,null
2021-01-09,null,null,null,null,null,null,null,null
2021-01-10,null,null,null,null,null,null,null,null
2021-01-11,null,null,null,null,null,null,null,null
2021-01-12,null,null,null,null,null,null,null,null
2021-01-13,null,null,null,null,null,null,null,null
2021-01-14,null,null,null,null,null,null,null,null
2021-01-15,null,null,null,null,null,null,null,null
2021-01-16,null,null,null,null,null,null,null,null
2021-01-17,null,null,null,null,null,null,null,null
2021-01-18,23222,728,42.84,0.979,41.94,5.5,5.9,0.06
2021-01-19,null,null,null,null,null,null,null,null
2021-01-20,null,null,null,null,null,null,null,null
2021-01-21,null,null,null,null,null,null,null,null
2021-01-22,null,null,null,null,null,null,null,null
2021-01-23,null,null,null,null,null,null,null,null
2021-01-24,null,null,null,null,null,null,null,null
2021-01-25,null,null,null,null,null,null,null,null
2021-01-26,null,null,null,null,null,null,null,null
2021-01-27,null,null,null,null,null,null,null,null
2021-01-28,null,null,null,null,null,null,null,null
2021-01-29,null,null,null,null,null,null,null,null
2021-01-30,null,null,null,null,null,null,null,null
2021-01-31,null,null,null,null,null,null,null,null
2021-02-01,null,null,null,null,null,null,null,null
2021-02-02,null,null,null,null,null,null,null,null
2021-02-03,null,null,null,null,null,null,null,null
2021-02-04,null,null,null,null,null,null,null,null
2021-02-05,null,null,null,null,null,null,null,null
2021-02-06,null,null,null,null,null,null,null,null
2021-02-07,null,null,null,null,null,null,null,null
2021-02-08,null,null,null,null,null,null,null,null
2021-02-09,null,null,null,null,null,null,null,null
2021-02-10,23977,755,40.50,1.009,40.86,5.1,5.4,0.05
2021-02-11,null,null,null,null,null,null,null,null
2021-02-12,null,null,null,null,null,null,null,null
2021-02-13,null,null,null,null,null,null,null,null
2021-02-14,null,null,null,null,null,null,null,null
2021-02-15,null,null,null,null,null,null,null,null
2021-02-16,null,null,null,null,null,null,null,null
2021-02-17,null,null,null,null,null,null,null,null
2021-02-18,null,null,null,null,null,null,null,null
2021-02-19,null,null,null,null,null,null,null,null
2021-02-20,null,null,null,null,null,null,null,null
2021-02-21,null,null,null,null,null,null,null,null
2021-02-22,null,null,null,null,null,null,null,null
2021-02-23,null,null,null,null,null,null,null,null
2021-02-24,null,null,null,null,null,null,null,null
2021-02-25,null,null,null,null,null,null,null,null
2021-02-26,null,null,null,null,null,null,null,null
2021-02-27,null,null,null,null,null,null,null,null
2021-02-28,null,null,null,null,null,null,null,null
2021-03-01,null,null,null,null,null,null,null,null
2021-03-02,null,null,null,null,null,null,null,null
2021-03-03,null,null,null,null,null,null,null,null
2021-03-04,null,null,null,null,null,null,null,null
2021-03-05,null,null,null,null,null,null,null,null
2021-03-06,null,null,null,null,null,null,null,null
2021-03-07,null,null,null,null,null,null,null,null
2021-03-08,null,null,null,null,null,null,null,null
2021-03-09,null,null,null,null,null,null,null,null
2021-03-10,24705,728,41.46,1.029,42.66,5.4,5.7,0.06
2021-03-11,null,null,null,null,null,null,null,null
2021-03-12,null,null,null,null,null,null,null,null
2021-03-13,null,null,null,null,null,null,null,null
2021-03-14,null,null,null,null,null,null,null,null
2021-03-15,null,null,null,null,null,null,null,null
2021-03-16,null,null,null,null,null,null,null,null
2021-03-17,null,null,null,null,null,null,null,null
2021-03-18,null,null,null,null,null,null,null,null
2021-03-19,null,null,null,null,null,null,null,null
2021-03-20,null,null,null,null,null,null,null,null
2021-03-21,null,null,null,null,null,null,null,null
2021-03-22,null,null,null,null,null,null,null,null
2021-03-23,null,null,null,null,null,null,null,null
2021-03-24,null,null,null,null,null,null,null,null
2021-03-25,null,null,null,null,null,null,null,null
2021-03-26,null,null,null,null,null,null,null,null
2021-03-27,null,null,null,null,null,null,null,null
2021-03-28,25420,715,38.73,1.059,41.02,5.1,5.4,0.06